NOGRID,LON,LAT,VAL
142516,116.25,-8.35,19.9993
142852,116.3,-8.35,19.2916
143188,116.35,-8.35,18.5839
143524,116.4,-8.35,19.1273
143860,116.45,-8.35,18.9654
144196,116.5,-8.35,18.8034
144532,116.55,-8.35,18.6415
144868,116.6,-8.35,18.4795
145204,116.65,-8.35,18.3176
145540,116.7,-8.35,18.1556
150916,117.5,-8.35,6.8137
151252,117.55,-8.35,6.5775
153268,117.85,-8.35,10.8863
153604,117.9,-8.35,11.7675
110261,111.45,-8.3,50.2473
110597,111.5,-8.3,51.0624
110933,111.55,-8.3,51.3273
111269,111.6,-8.3,51.5922
111605,111.65,-8.3,48.4649
111941,111.7,-8.3,45.3376
112277,111.75,-8.3,42.2103
113285,111.9,-8.3,32.8284
113957,112,-8.3,35.975
114293,112.05,-8.3,36.6243
114629,112.1,-8.3,37.2737
114965,112.15,-8.3,37.9231
115301,112.2,-8.3,38.5724
115637,112.25,-8.3,39.2218
115973,112.3,-8.3,39.8711
116309,112.35,-8.3,40.2714
116645,112.4,-8.3,40.6717
116981,112.45,-8.3,45.8905
117317,112.5,-8.3,51.1094
117653,112.55,-8.3,56.3283
117989,112.6,-8.3,61.5473
118325,112.65,-8.3,66.7662
118661,112.7,-8.3,71.9852
118997,112.75,-8.3,70.593
119333,112.8,-8.3,69.2004
119669,112.85,-8.3,67.0492
120005,112.9,-8.3,64.8979
120341,112.95,-8.3,62.7467
120677,113,-8.3,60.5954
122693,113.3,-8.3,52.3539
123029,113.35,-8.3,50.0414
123365,113.4,-8.3,47.7289
123701,113.45,-8.3,45.4163
124037,113.5,-8.3,43.1039
124373,113.55,-8.3,42.9636
124709,113.6,-8.3,42.8233
125045,113.65,-8.3,45.2045
125381,113.7,-8.3,47.5858
125717,113.75,-8.3,49.967
126053,113.8,-8.3,52.3483
126389,113.85,-8.3,54.7295
126725,113.9,-8.3,57.1108
127061,113.95,-8.3,55.9957
127397,114,-8.3,54.8807
127733,114.05,-8.3,53.8231
128069,114.1,-8.3,52.7655
128405,114.15,-8.3,51.7078
128741,114.2,-8.3,50.6502
129077,114.25,-8.3,49.5926
129413,114.3,-8.3,48.5349
129749,114.35,-8.3,47.6494
131093,114.55,-8.3,36.412
131429,114.6,-8.3,32.9613
131765,114.65,-8.3,29.5107
